id,name
#UC6bam4pQbuUgXnmyEFlSpNA , Abay Media
#UCwMHDoJO6cHO6LN1BItFsPQ , Andafta Media
#UCW0FmkMO7KkYdIiNKXpY9Ng , Tigrai Mass Media Agency
#UCsgwJqcvme0NsrVJl7bfsVg , Netsebraq Media
#UCzKNQPxq0xTisQtBi8MTZWA , ASRAT MEDIA
#UCx8pCDzeiIQaKuVsj46G3Dg , Amhara Mass Media Agency
#UCFRuICCV8fHJGa3AbcA3zOA , Awlo Media
#UCZtgvHLg-59Xmgyc9Hczc9A , Amara Media Center
#UCNMxaXuUGnGrqmdzW3cl-qA , Kush Media Network
#UCuwWDftx2gxmC2D50So0gag , Mereja TV
#UCHrs3XL3o4UhOuUSF8hqwmw , DireTube Ethiopia
#UCbpEBR_xF2t2PqxFvE1hfHw , DireTube 
#UCOhrz3uRCOHmK6ueUstw7_Q , EBC
#UCvgODwKEq2GS7zxacxvYa6Q , Kana Television
#UCnCYLFMXiN_bX-kCbn_fuIg , South Radio and Television Agency
#UC43-lJ33gVGdJUIwb3e7QQw , EthioTimes
#UCaB5m_S9pyV6XXxpalcRiuQ , MAMUSH TUBE
#UCDh6wb681tQ3PB7UdU9MDOw , Amharic One/Addis
#UC6xGdrIcExuM206hn84SrfQ , Ethio Programming
#UC3RK85xis5TG9iiErQQc1fQ , Yegna Tv
#UCZ-FHLpBy0oSvecf3yA3qeg , Amharic
#UCKsDKHIpHyEYDSSZjB_uAwQ , Bole Media
#UC4yEV6VBe0Emu8sMpyij0uQ , Walta TV
#UCKmDyLU_IH0wrtxHPK5xWlA , LTV World
#UCJV_BwBTRQ5HjtJfbaa0_rA , Amhara Media Network
#UCBvvcSYeDriczyImdI1qZWw , Tigrai Media House
#UCSnwxtpNr-2QupM0qi11Y6Q , Arts Tv World
#UCiwS8gsz4r1FpBYQ5E6L2tg , Yoni Magna
#UCU3kDb0t2AoOEXAPCy5IhwQ , gege Kiya
#UCJEcIpnugCiKI0YJDYqglNQ , Ahmedin Jebel
#UClrm1MH-q0AVflMz2yl2iUg , Ye Mehreteab tube
#UC6jJzbRTEtenL3NOl_CLKZA , Feta Show
#UCX2E30J71sKpnLQuGr7kt6w , Nesiha TV
#UCRb0s8JK3qntWoJ6-YljpPg , Zawya Tv
#UCp39OPJjq5ipnFbtXYDCpKQ , harun tube 2
#UCZJFOfd3nQA1E2jc430t7bQ , Tewfiq Yusuf
#UCHFyV-DSr0_fbxqaB10VnNg , Jesus TV
#UCCYbR92tg8ZVr34p0BFHbtw , Minew Shewa
#UC3bEbnuoR3UPeh1xYQyMviw , Abel Birhanu
#UC0YvWqRdAJ7-QicOsitIppQ , Betoch
#UCO9BorKN00Lc4XAWt2wVeAA , Amhara Press
#UC55C_TbuJ0E5f1TkWLZK3vA , Ethio Relax
#UCZHYynl7LO2v6023LO0YAJA , TST App
#UCj-2bUnE28mtqp33LPvh7TQ , Seifu on EBS 2
#UClE5X8V_7GJykqzYDARQjwg , Arada Movies1
#UCFqTkdHEybhA0vqxRJE6B7w , Tatek Media
#UCRc2w78g9tX_mbSQ6sFz66Q , Alemneh Wasse
#UCx8lUhPaYZiJIqhKE96B9oA , nku tamirtsion
#UCKSnUZXCL0ERa-UzdBSHFhA , Tikus Mereja
#UCmAnzjcjIgtWuE6AnBCViTg,"OMN	"
#UCcs9pBjQy8tgqQdjSnuOy4g,"ETHSAT	"
#UCvr6jA3WYOhXFUD2LKpqhQw,"Ethio 360 	"
#UCqq85cAzIC5XnXozKaul1cA ,"Zehabesha	"
#UCaXKB59Y-hfm9jidNoyL72w," Awuranba	 "
#UCX6zLWrjwFNS_5sm0jKpROQ,"Hak enna Saq	"
#UCbd0aSMYUO_EhPf54V7iMJA,"Ethiopian reporter 	"
#UCjEcvrNcjpD6K1smphNo4MQ,"Amharic tube	"
#UCq98Y5IPS0kEuBiFXYRNLSg, Ethiopis TV Program
#UCt7ArdWcW7xSxvNi7tdLpKg, Mahibere Kidusan
#UC-kDmfnktrzc_SGpS9ulrXw, Adebabay Media
